PlantGroup,IslandCode,SiteCode,PlantGroupRank,PlantType,PlantSubType,Description,Attribute,Value,Unit,StartDate,EndDate,Schedule,Source,Consent,Notes
Clutha,SI,WPU,1.00,Reservoir,Run of river,Lake Wakatipu,Active storage capacity,351.5600000000,Mm3,0001-01-01,9999-12-31,,Contact,,This max level is the flood level at Queenstown.  Equivalent to 380 cumec discharge.  At higher lake levels discharge will be spilled past both Clyde and Roxburgh. (Allowing for Shotover and Nevis uncontrolled flow)
Clutha,SI,WPU,1.00,Reservoir,Run of river,Lake Wakatipu,Consented contingent storage capacity,0E-10,Mm3,0001-01-01,9999-12-31,,Contact,,
Clutha,SI,HWE,1.01,Hydro arc,River,Hawea River,Max flow,,cumecs,1959-10-01,1977-06-30,,Contact,,No consent limit on maximum discharge.
Clutha,SI,HWE,1.01,Hydro arc,River,Hawea River,Max flow,200.0000000000,cumecs,1977-07-01,2007-05-24,,Contact,,Constraint imposed by Contact Energy Ltd
Clutha,SI,HWE,1.01,Hydro arc,River,Hawea River,Max flow,200.0000000000,cumecs,2007-05-25,2042-05-25,* * * 2-8 *,Contact,2001.392_v5,"Otago Regional Council, 2007 / Maximum discharge 60 cumecs 1 Sept to 31 Jan otherwise 200 cumecs."
Clutha,SI,HWE,1.01,Hydro arc,River,Hawea River,Max flow,60.0000000000,cumecs,2007-05-25,2042-05-25,"* * * 9-12,1 *",Contact,2001.392_v5,"Otago Regional Council, 2007 / Maximum discharge 60 cumecs 1 Sept to 31 Jan otherwise 200 cumecs."
Clutha,SI,HWE,1.02,Hydro arc,River,Hawea River,Min flow,6.0000000000,cumecs,1959-10-01,2007-05-24,,Contact,,Minimum discharge of 6 cumecs
Clutha,SI,HWE,1.02,Hydro arc,River,Hawea River,Min flow,10.0000000000,cumecs,2007-05-25,2042-05-25,,Contact,2001.392_v5,"Otago Regional Council, 2007 / Minimum discharge 10 cumecs."
Clutha,SI,CYD,2.10,Hydro,Hydro,Clyde,Generating capacity,464.0000000000,MW,1993-09-01,9999-12-31,,Contact,,
Clutha,SI,CYD,2.10,Hydro,Hydro,Clyde,Plant factor,1.9300000000,cumecs/MW,1993-09-01,9999-12-31,,Contact,,
Clutha,SI,CYD,2.11,Hydro arc,Spill,Clyde to Roxburgh,Max spill flow,4140.0000000000,cumecs,1993-09-01,9999-12-31,,ECNZ,,
Clutha,SI,CYD,2.11,Hydro arc,Station flow,Clyde to Roxburgh,Max flow,850.0000000000,cumecs,1993-09-01,2007-05-24,,Contact,,Clutha - Clyde Dam Empowering Act
Clutha,SI,CYD,2.11,Hydro arc,Station flow,Clyde to Roxburgh,Max flow,1000.0000000000,cumecs,2007-05-25,2042-05-25,,Contact,2001.393,"ORC, 2007, Maximum discharge from penstocks at all times.  No consent limit for Spill flows."
Clutha,SI,CYD,2.12,Hydro arc,River,Clyde to Roxburgh,Min flow,0E-10,cumecs,2007-05-25,2042-05-25,"* 0-6.25,19.5-24 * * *",Contact,2001.393,"Otago Regional Council, 2007 / Minimum discharge 0 at night and 120 cumecs during day."
Clutha,SI,CYD,2.12,Hydro arc,River,Clyde to Roxburgh,Min flow,120.0000000000,cumecs,2007-05-25,2042-05-25,* 6.25-19.5 * * *,Contact,2001.393,"Otago Regional Council, 2007 / Minimum discharge 0 at night and 120 cumecs during day."
Clutha,SI,ROX,3.10,Hydro,Hydro,Roxburgh,Generating capacity,320.0000000000,MW,1956-07-01,1997-06-30,,Contact,,
Clutha,SI,ROX,3.10,Hydro,Hydro,Roxburgh,Generating capacity,320.0000000000,MW,1998-07-01,9999-12-31,,Contact,,
Clutha,SI,ROX,3.10,Hydro,Hydro,Roxburgh,Plant factor,2.5400000000,cumecs/MW,1956-07-01,1997-06-30,,Contact,,
Clutha,SI,ROX,3.10,Hydro,Hydro,Roxburgh,Plant factor,2.5200000000,cumecs/MW,1997-07-01,2010-08-31,,Contact,,Tailrace deepening
Clutha,SI,ROX,3.10,Hydro,Hydro,Roxburgh,Plant factor,2.4900000000,cumecs/MW,2010-09-01,9999-12-31,,Contact,,Raised MCL
Clutha,SI,ROX,3.11,Hydro arc,Spill,Roxburgh to Clutha river,Max spill flow,6000.0000000000,cumecs,1956-07-01,9999-12-31,,ECNZ,,
Clutha,SI,ROX,3.11,Hydro arc,Station flow,Roxburgh,Max flow,,cumecs,0001-01-01,9999-12-31,,Contact,,No consent limit on maximum penstock discharge.
Clutha,SI,ROX,3.11,Hydro arc,Station flow,Roxburgh,Min flow,150.0000000000,cumecs,1956-07-01,2007-05-24,"* * * 1-3,10-12 *",Contact,,Self imposed constraint. 100 cumecs winter. 150 cumecs summer.
Clutha,SI,ROX,3.11,Hydro arc,Station flow,Roxburgh,Min flow,100.0000000000,cumecs,1956-07-01,2007-05-24,* * * 4-9 *,Contact,,Self imposed constraint. 100 cumecs winter. 150 cumecs summer.
Clutha,SI,ROX,3.11,Hydro arc,Station flow,Roxburgh,Min flow,250.0000000000,cumecs,2007-05-25,2042-05-25,,Contact,2001.394,"Otago Regional Council, 2007 / Minimum discharge 250 cumecs except when inflows are <250 cumecs.  Then the limit is the total of the previous days inflows."
Cobb,SI,COB,1.10,Hydro,Hydro,Cobb,Generating capacity,32.0000000000,MW,0001-01-01,9999-12-31,,ECNZ,,
Cobb,SI,COB,1.10,Hydro,Hydro,Cobb,Plant factor,0.2270147560,cumecs/MW,0001-01-01,9999-12-31,,ECNZ,,
Coleridge,SI,COL,1.10,Hydro,Hydro,Coleridge,Generating capacity,39.0000000000,MW,0001-01-01,9999-12-31,,ECNZ,,
Coleridge,SI,COL,1.10,Hydro,Hydro,Coleridge,Plant factor,0.9910802780,cumecs/MW,0001-01-01,9999-12-31,,ECNZ,,
Manapouri,SI,TAU,1.00,Reservoir,Controlled,Lake Te Anau,Active storage capacity,647.6800000000,Mm3,1969-09-09,1996-11-27,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Manapouri,SI,TAU,1.00,Reservoir,Controlled,Lake Te Anau,Active storage capacity,647.6800000000,Mm3,1996-11-28,2031-11-28,,Meridian,SRC CN 96020,"Southland Regional Council, 200.86m to 202.7m / The operation of Lakes Te Anau and Manapouri is dictated by the MTADA 'Operating Guidelines for the Levels of Lakes Te Anau and Manapouri'. NZ Gazette, notice go7755, 21 November 2002."
Manapouri,SI,TAU,1.00,Reservoir,Controlled,Lake Te Anau,Consented contingent storage capacity,0E-10,Mm3,1996-11-28,2031-11-28,,Meridian,SRC CN 96020,"Southland Regional Council, 200.86m to 202.7m / The operation of Lakes Te Anau and Manapouri is dictated by the MTADA 'Operating Guidelines for the Levels of Lakes Te Anau and Manapouri'. NZ Gazette, notice go7755, 21 November 2002."
Manapouri,SI,MAN,2.00,Reservoir,Controlled,Lake Manapouri,Active storage capacity,381.5500000000,Mm3,1969-09-09,1996-11-27,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Manapouri,SI,MAN,2.00,Reservoir,Controlled,Lake Manapouri,Active storage capacity,381.5500000000,Mm3,1996-11-28,2031-11-28,,Meridian,SRC CN 96022,"Southland Regional Council, 175.86m to 178.6m / The operation of Lakes Te Anau and Manapouri is dictated by the MTADA 'Operating Guidelines for the Levels of Lakes Te Anau and Manapouri'. NZ Gazette, notice go7755, 21 November 2002."
Manapouri,SI,MAN,2.00,Reservoir,Controlled,Lake Manapouri,Consented contingent storage capacity,0E-10,Mm3,1996-11-28,2031-11-28,,Meridian,SRC CN 96022,"Southland Regional Council, 175.86m to 178.6m / The operation of Lakes Te Anau and Manapouri is dictated by the MTADA 'Operating Guidelines for the Levels of Lakes Te Anau and Manapouri'. NZ Gazette, notice go7755, 21 November 2002."
Manapouri,SI,MAN,2.01,Hydro arc,River,Manapouri,Min flow,16.0000000000,cumecs,1996-11-29,2031-11-28,"* * * 11-12,1-3 *",Meridian,SRC CN 96022,Southland Regional Council / lower Waiau minimum flows.  Meridian is also required to discharge all the Mararoa flow when the Mararoa turbidity is greater than 30NTU
Manapouri,SI,MAN,2.01,Hydro arc,River,Manapouri,Min flow,14.0000000000,cumecs,1996-11-29,2031-11-28,"* * * 4,10 *",Meridian,SRC CN 96022,Southland Regional Council / lower Waiau minimum flows.  Meridian is also required to discharge all the Mararoa flow when the Mararoa turbidity is greater than 30NTU
Manapouri,SI,MAN,2.01,Hydro arc,River,Manapouri,Min flow,12.0000000000,cumecs,1996-11-29,2031-11-28,* * * 5-9 *,Meridian,SRC CN 96022,Southland Regional Council / lower Waiau minimum flows.  Meridian is also required to discharge all the Mararoa flow when the Mararoa turbidity is greater than 30NTU
Manapouri,SI,MAN,2.10,Hydro,Hydro,Manapouri,Generating capacity,800.0000000000,MW,1969-09-09,9999-12-31,,Meridian,,The true station capacity is actullay 854 MW (7x122 MW) however is restricted by the discharge consent to 800 MW.
Manapouri,SI,MAN,2.10,Hydro,Hydro,Manapouri,Plant factor,0.7550000000,cumecs/MW,1969-09-09,2002-07-02,,Meridian,,Original single tunnel operation / Actual maximum generation is limited by the maximum tailrace flow of 550 cumecs.
Manapouri,SI,MAN,2.10,Hydro,Hydro,Manapouri,Plant factor,0.6630000000,cumecs/MW,2002-07-03,2003-12-22,,Meridian,,Preliminary ratio following the commissioning of the second tailrace tunnel / Actual maximum generation is limited by the maximum tailrace flow of 550 cumecs.
Manapouri,SI,MAN,2.10,Hydro,Hydro,Manapouri,Plant factor,0.6830000000,cumecs/MW,2003-12-23,2008-04-09,,Meridian,,Confirmation of post second tunnel ratio / Actual maximum generation is limited by the maximum tailrace flow of 550 cumecs.
Manapouri,SI,MAN,2.10,Hydro,Hydro,Manapouri,Plant factor,0.6530000000,cumecs/MW,2008-04-10,9999-12-31,,Meridian,,Confirmed ratio following half-life refurbishment project / Actual maximum generation is limited by the maximum tailrace flow of 550 cumecs.
Manapouri,SI,MAN,2.11,Hydro arc,Station flow,Manapouri to sea,Max flow,550.0000000000,cumecs,2010-07-14,2031-11-28,,Meridian,,"Manapouri Tailrace Amended Discharge consented by Environment Southland. A 550 cumec station setpoint (allows for deviations due to governor action). The Manapouri tailrace amended discharge involves two water permits (206165 and 206157) and a coastal permit (206158).  These sit alongside, rather than replace, the earlier 1996 consents (96019, 96022 and 96024)."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,1965-08-01,1982-10-23,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,191.0000000000,Mm3,1982-10-24,1982-11-09,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,1982-11-10,1989-09-30,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,191.0000000000,Mm3,1989-10-01,1989-11-17,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,1989-11-18,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,1991-02-01,2001-09-30,,Meridian,CRC905301.4,"Environment Canterbury, 1993"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,191.0000000000,Mm3,2001-10-01,2001-10-12,,Meridian,CRC905301.4,"Environment Canterbury, 1993. Called on for 2001 dry year."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,2001-10-13,2011-05-31,,Meridian,CRC905301.4,"Environment Canterbury, 1993"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active contingent storage capacity,0E-10,Mm3,2011-06-01,9999-12-31,,Genesis,CRC905301.4,"Environment Canterbury, 1993"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,705.1000000000,Mm3,1965-08-01,1991-01-31,,ECNZ,,These values have been retrospectively applied and attributed to ECNZ. If you have more information please let us know.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,514.1000000000,Mm3,1991-02-01,2011-05-31,"* * * 1-2,10-12 *",Meridian,CRC905301.4/CRC905302.3,"Environment Canterbury, 1993 / 704.1m to 709.7m"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,543.4000000000,Mm3,1991-02-01,2011-05-31,* * * 3 *,Meridian,CRC905301.4/CRC905302.3,"Environment Canterbury, 1993 / 704.1m to 710.0m"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,763.9000000000,Mm3,1991-02-01,2011-05-31,"* * * 4,8 *",Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.3m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,793.6000000000,Mm3,1991-02-01,2011-05-31,* * * 5 *,Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.6m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,823.4000000000,Mm3,1991-02-01,2011-05-31,* * * 6-7 *,Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.9m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,705.1000000000,Mm3,1991-02-01,2011-05-31,* * * 9 *,Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 709.7m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,514.1000000000,Mm3,2011-06-01,2025-04-30,"* * * 1-2,10-12 *",Genesis,CRC905301.4/CRC905302.3,"Environment Canterbury, 1993 / 704.1m to 709.7m"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,543.4000000000,Mm3,2011-06-01,2025-04-30,* * * 3 *,Genesis,CRC905301.4/CRC905302.3,"Environment Canterbury, 1993 / 704.1m to 710.0m"
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,763.9000000000,Mm3,2011-06-01,2025-04-30,"* * * 4,8 *",Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.3m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,793.6000000000,Mm3,2011-06-01,2025-04-30,* * * 5 *,Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.6m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,823.4000000000,Mm3,2011-06-01,2025-04-30,* * * 6-7 *,Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 710.9m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Active storage capacity,705.1000000000,Mm3,2011-06-01,2025-04-30,* * * 9 *,Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8m to 709.7m. Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Available contingent storage capacity,191.0000000000,Mm3,1965-08-01,1991-01-31,"* * * 1-3,10-12 *",ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Available contingent storage capacity,191.0000000000,Mm3,1991-02-01,2011-05-31,"* * * 1-3,10-12 *",Meridian,CRC905302.3,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Available contingent storage capacity,0E-10,Mm3,1991-02-01,2011-05-31,* * * 4-9 *,Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Available contingent storage capacity,191.0000000000,Mm3,2011-06-01,2025-04-30,"* * * 1-3,10-12 *",Genesis,CRC905302.3,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Available contingent storage capacity,0E-10,Mm3,2011-06-01,2025-04-30,* * * 4-9 *,Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Consented contingent storage capacity,191.0000000000,Mm3,1965-08-01,1991-01-31,"* * * 1-3,10-12 *",ECNZ,,These values have been retrospectively applied and attributed to ECNZ as we know the lake was drawn below 704.1. 701.8 Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal.
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Consented contingent storage capacity,191.0000000000,Mm3,1991-02-01,2011-05-31,"* * * 1-3,10-12 *",Meridian,CRC905302.3,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Consented contingent storage capacity,0E-10,Mm3,1991-02-01,2011-05-31,* * * 4-9 *,Meridian,CRC905301.4,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Consented contingent storage capacity,191.0000000000,Mm3,2011-06-01,2025-04-30,"* * * 1-3,10-12 *",Genesis,CRC905302.3,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.00,Reservoir,Controlled,Lake Tekapo,Consented contingent storage capacity,0E-10,Mm3,2011-06-01,2025-04-30,* * * 4-9 *,Genesis,CRC905301.4,"Environment Canterbury, 1993 / 701.8.  Min lake level under national energy crisis (from 704.1m). Note below 702.1m flow bypasses Tekapo A station through gate 16 and 17 into the canal."
Waitaki river,SI,TKA,1.01,Hydro arc,River,Tekapo - Lake George Scott via Gate 16,Max flow,850.0000000000,cumecs,2011-06-01,2025-05-01,,Genesis,,
Waitaki river,SI,TKA,1.02,Hydro arc,Spill,Tekapo - Lake George Scott to Benmore,Max spill flow,600.0000000000,cumecs,2011-06-01,2025-04-30,,Genesis,CRC905309.4,"Canterbury Regional Council, 1993 / Spill flow goes into Lake Scott and on to Lake Benmore, Gate 16 max is 850 cumecs and Lake George Scott weir is 600 cumecs max"
Waitaki river,SI,TKA,1.03,Hydro arc,Canal,Tekapo  to Pukaki,Max flow,130.0000000000,cumecs,2011-06-01,2025-04-30,,Genesis,CRC905307.2,"Canterbury Regional Council, 1993 / Max Flow through Gate 17 is 130 cumecs (850-600-130=120 cumecs spare)"
Waitaki river,SI,TKA,1.10,Hydro,Hydro,Tekapo A,Generating capacity,27.0000000000,MW,1965-08-01,2011-05-31,,Meridian,,
Waitaki river,SI,TKA,1.10,Hydro,Hydro,Tekapo A,Generating capacity,25.0000000000,MW,2011-06-01,2015-07-27,,Genesis,,25 MW when Genesis took it over from Meridian - unsure when this was reduced but in 1986 TKA produced close to 29 MW.
Waitaki river,SI,TKA,1.10,Hydro,Hydro,Tekapo A,Generating capacity,27.0000000000,MW,2015-07-28,9999-12-31,,Genesis,,Expexted to be upgradered to 30 MW after some final configuration is complete.
Waitaki river,SI,TKA,1.10,Hydro,Hydro,Tekapo A,Plant factor,4.3060000000,cumecs/MW,1965-08-01,2011-05-31,,Meridian,,
Waitaki river,SI,TKA,1.10,Hydro,Hydro,Tekapo A,Plant factor,4.3060000000,cumecs/MW,2011-06-01,9999-12-31,,Genesis,,
Waitaki river,SI,TKA,1.11,Hydro arc,Station flow,Tekapo A to Tekapo - Pukaki canal,Max flow,130.0000000000,cumecs,2011-06-01,2025-04-30,,Genesis,CRC905305.2,"Canterbury Regional Council, 1993 / Max take through Tekapo A is 130 cumecs"
Waitaki river,SI,TKA,1.13,Hydro arc,Canal,Tekapo to Pukaki,Max flow,130.0000000000,cumecs,2011-06-01,2025-04-30,,Genesis,CRC905307.2,"Canterbury Regional Council, 1993 / Max Flow through Gate 17 is 130 cumecs (850-600-130=120 cumecs spare)"
Waitaki river,SI,TKB,1.20,Hydro,Hydro,Tekapo B,Generating capacity,160.0000000000,MW,1977-06-21,2011-05-31,,Meridian,,
Waitaki river,SI,TKB,1.20,Hydro,Hydro,Tekapo B,Generating capacity,154.0000000000,MW,2011-06-01,9999-12-31,,Genesis,,160 MW true maximum. 154 MW max due to hydraulic constraint in the canal for the salmon farm. Expected new runners in FY 2018/2019 should retun capacity to true max.
Waitaki river,SI,TKB,1.20,Hydro,Hydro,Tekapo B,Plant factor,0.7800000000,cumecs/MW,1977-06-21,2011-05-31,,Meridian,,
Waitaki river,SI,TKB,1.20,Hydro,Hydro,Tekapo B,Plant factor,0.7784000000,cumecs/MW,2011-06-01,9999-12-31,,Genesis,CRC905319.2,"Canterbury Regional Council, 1993 / Max outflow from TEKB is 130 cumecs"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Max flow,130.0000000000,cumecs,2011-06-01,2025-04-30,,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,91.6000000000,Mm3,2011-06-01,2025-04-30,* * * 1 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,89.0600000000,Mm3,2011-06-01,2025-04-30,* * * 10 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,92.2800000000,Mm3,2011-06-01,2025-04-30,* * * 11 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,97.4900000000,Mm3,2011-06-01,2025-04-30,* * * 12 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,79.8300000000,Mm3,2011-06-01,2025-04-30,* * * 2 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,88.6600000000,Mm3,2011-06-01,2025-04-30,* * * 3 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,88.3900000000,Mm3,2011-06-01,2025-04-30,* * * 4 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”)"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,95.7500000000,Mm3,2011-06-01,2025-04-30,* * * 5 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”). Also to be included if/as required over June to September, the Supplementary Pukaki Supply for Fish and Game Stakeholder Agreement"
Waitaki river,SI,TKB,1.24,Hydro arc,Station flow,Tekapo B to Pukaki,Min monthly volume,89.0400000000,Mm3,2011-06-01,2025-04-30,* * * 6 *,Genesis,Not a consent but is required,"Subject to the provisions of the water management agreement between Genesis and Meridian, section 7, and to the provisions of section 8, Genesis Energy shall each month deliver into Lake Pukaki at the Water Delivery Point the volumes of water specified below in respect of that month (“Pukaki Supply”). Also to be included if/as required over June to September, the Supplementary Pukaki Supply for Fish and Game Stakeholder Agreement"
